,Name,Review Count,Category,Sub Category,Address,City,Zip Code,Phone number,Yelp Domain
0,Salty Sow,1801 reviews,American (Traditional),Gastropubs,1917 Manor Rd ,Austin,78722,(512) 391-2337,https://www.yelp.com/biz/salty-sow-austin?hrid=nVBa-AUHVJG-VUfAcfFsew&osq=Restaurants
1,Moonshine Patio Bar & Grill,2720 reviews,Southern,Breakfast & Brunch,303 Red River St ,Austin,78701,(512) 236-9599,https://www.yelp.com/biz/moonshine-patio-bar-and-grill-austin?hrid=1rNDltLlO9nUuI_Bmtakow&osq=Restaurants
2,MezzeMe Mediterranean Kitchen,39 reviews,Mediterranean,,4700 W Guadalupe St ,Austin,78751,(512) 900-8200,https://www.yelp.com/biz/mezzeme-mediterranean-kitchen-austin-2?hrid=yNHRIDl4F0ObKrQ-PuYY6A&osq=Restaurants
3,Revelry Kitchen + Bar,79 reviews,Bars,American (Traditional),1410 E 6th St ,Austin,78702,(512) 322-5223,https://www.yelp.com/biz/revelry-kitchen-bar-austin?hrid=3s7ubNp6m7xQ0eUrceMoiQ&osq=Restaurants
4,Dragonbeard Kitchen,99 reviews,Asian Fusion,Hawaiian,8201 Cross Park Dr ,Austin,78754,(512) 551-9261,https://www.yelp.com/biz/dragonbeard-kitchen-austin?hrid=aRFkw1P5FlTSfDGxuy08JQ&osq=Restaurants
5,Boteco,283 reviews,Brazilian,Latin American,1403 E 7th St ,Austin,78702,,https://www.yelp.com/biz/boteco-austin-3?hrid=yz8uGAoQD1QG19e0XbQ7hw&osq=Restaurants
6,Austin Taco Project,139 reviews,Tapas/Small Plates,Bars,500 E 4th St ,Austin,78701,(512) 682-2739,https://www.yelp.com/biz/austin-taco-project-austin?hrid=xuseKu4nDRHIYuatIk0SNw&osq=Restaurants
7,Jack Allen's Kitchen,22 reviews,American (Traditional),Southern,3010 W Anderson Ln ,Austin,78757,(512) 428-6944,https://www.yelp.com/biz/jack-allens-kitchen-austin-11?hrid=YNEFpSp0aIfGGmggrJJcsw&osq=Restaurants
8,Franklin Barbecue,3464 reviews,Barbeque,Salad,900 E 11th St ,Austin,78702,(512) 653-1187,https://www.yelp.com/biz/franklin-barbecue-austin?hrid=LNFru1Y9WNngvZZU2a1dXg&osq=Restaurants
9,Culinary Dropout,354 reviews,Bars,American (New),11721 Rock Rose ,Austin,78758,(512) 777-3394,https://www.yelp.com/biz/culinary-dropout-austin?hrid=VywBGszN2smFIa5uGwyEQA&osq=Restaurants
10,Launderette,594 reviews,American (New),Breakfast & Brunch,2115 Holly St ,Austin,78702,(512) 382-1599,https://www.yelp.com/biz/launderette-austin?hrid=_7bZJ9lW28pcNRA0zSGinA&osq=Restaurants
11,Mattie's,60 reviews,American (Traditional),Southern,811 W Live Oak St ,Austin,78704,(512) 444-1888,https://www.yelp.com/biz/matties-austin-3?hrid=XJ7guE24VMvxVJny6VCneA&osq=Restaurants
12,Roaring Fork,779 reviews,American (Traditional),,701 Congress Ave ,Austin,78701,(512) 583-0000,https://www.yelp.com/biz/roaring-fork-austin?hrid=GW80k0RtLHz_k4PJo_xxEw&osq=Restaurants
